geoid,name,hh,hh_lt_5K,hh_5K_to_7499,hh_7500_to_9999,hh_10K_to_14999,hh_15K_to_19999,hh_20K_to_24999,hh_25K_to_34999,hh_35K_to_49999,hh_50K_or_more
36001,"Albany County, New York",106827,12742,8434,8569,17335,15130,13889,17014,9543,4171
36003,"Allegany County, New York",16497,2530,1739,1621,3153,2773,2133,1729,605,214
36005,"Bronx County, New York",430468,110539,49181,40122,70199,51729,38852,41233,20664,7949
36007,"Broome County, New York",76823,8792,6782,6689,13010,11816,9877,11784,5844,2229
36009,"Cattaraugus County, New York",29306,4412,2922,2884,5271,4793,3753,3523,1287,461
36011,"Cayuga County, New York",27036,3554,2615,2279,4542,4464,3572,4098,1491,421
36013,"Chautauqua County, New York",52724,7371,5128,4944,9089,8711,6763,6781,2855,1082
36015,"Chemung County, New York",34386,4449,3240,3139,6110,5696,4195,4767,2040,750
36017,"Chenango County, New York",16807,2047,1589,1866,3339,2713,2136,2187,642,288
36019,"Clinton County, New York",24836,3349,2454,2611,4775,3990,2872,3107,1266,412
36021,"Columbia County, New York",21363,2625,2209,2164,3691,3536,2582,2801,1163,592
36023,"Cortland County, New York",16276,2423,1615,1545,2999,2648,2072,1871,778,325
36025,"Delaware County, New York",16421,2364,1655,1670,3370,2722,1954,1667,752,267
36027,"Dutchess County, New York",80785,7259,5265,5308,10809,11085,11388,15928,9851,3892
36029,"Erie County, New York",365177,48990,30505,27088,52288,53074,49626,61054,30127,12425
36031,"Essex County, New York",12876,1930,1279,1368,2435,2012,1546,1460,655,191
36033,"Franklin County, New York",15123,2567,1746,1846,2870,2084,1573,1603,568,266
36035,"Fulton County, New York",20153,3111,1939,2002,3890,3508,2357,2189,828,329
36037,"Genesee County, New York",20110,2058,1661,1475,3080,3269,3002,3426,1590,549
36039,"Greene County, New York",14992,2349,1626,1451,2690,2264,1819,1757,721,315
36041,"Hamilton County, New York",1915,272,229,242,438,314,184,169,45,22
36043,"Herkimer County, New York",23614,3507,2390,2190,4549,4138,3018,2534,977,311
36045,"Jefferson County, New York",30687,4874,3038,3175,5841,4719,3642,3562,1388,448
36047,"Kings County, New York",829304,188737,91428,75715,135320,106130,79984,88323,45031,18636
36049,"Lewis County, New York",8120,1148,748,784,1528,1541,965,920,326,160
36051,"Livingston County, New York",18247,1920,1427,1368,3100,2986,2574,3135,1314,423
36053,"Madison County, New York",20591,2465,1785,1870,3470,3418,2788,2978,1257,560
36055,"Monroe County, New York",252741,26277,15933,16032,33141,33625,32510,49002,32033,14188
36057,"Montgomery County, New York",19806,2976,1919,1920,3735,3117,2705,2238,895,301
36059,"Nassau County, New York",423795,25070,17009,18024,39848,45906,53858,92950,74519,56611
36061,"New York County, New York",706015,143272,65455,57328,107728,87748,63797,73413,48055,59219
36063,"Niagara County, New York",80369,9554,6057,5922,11366,12822,11226,14624,6775,2023
36065,"Oneida County, New York",87883,12195,7984,7434,15525,14264,11219,12157,5124,1981
36067,"Onondaga County, New York",165853,19332,12848,12591,25071,24484,22320,28500,14532,6175
36069,"Ontario County, New York",30287,2844,2302,2274,4761,4931,4665,5277,2363,870
36071,"Orange County, New York",84199,9645,6354,5808,12383,12833,11979,15229,7017,2951
36073,"Orleans County, New York",13033,1355,1181,1007,2041,1852,1850,2418,1023,306
36075,"Oswego County, New York",37249,4830,3149,2920,6300,5877,5276,5969,2356,572
36077,"Otsego County, New York",20276,3124,2178,2344,3903,3176,2204,2125,775,447
36079,"Putnam County, New York",24416,1503,1169,1225,2682,2718,3481,6243,3904,1491
36081,"Queens County, New York",712342,91900,54991,53048,111879,101621,88885,115249,66081,28688
36083,"Rensselaer County, New York",52662,7268,4656,4211,8487,8255,6912,8166,3610,1097
36085,"Richmond County, New York",114485,11532,6499,6237,13724,14865,16166,24495,14851,6116
36087,"Rockland County, New York",77973,4888,3552,3454,7586,8218,9951,17601,14431,8292
36089,"St. Lawrence County, New York",35868,5977,3689,3552,6182,5177,4317,4460,1896,618
36091,"Saratoga County, New York",51956,4665,3610,3839,8085,8401,7497,9874,4408,1577
36093,"Schenectady County, New York",56261,6598,4548,4559,8813,8565,7407,8790,4828,2153
36095,"Schoharie County, New York",9663,1398,1044,987,1815,1621,1178,1108,344,168
36097,"Schuyler County, New York",6047,658,644,587,1251,1074,829,702,237,65
36099,"Seneca County, New York",11463,1125,866,1101,2046,1949,1625,1823,699,229
36101,"Steuben County, New York",35186,4655,3339,2963,6651,5536,4503,4638,2142,759
36103,"Suffolk County, New York",385753,26999,20604,20710,44288,51379,56765,85540,53178,26290
36105,"Sullivan County, New York",23092,3728,2776,2444,4024,3649,2503,2465,982,521
36107,"Tioga County, New York",16494,1618,1480,1286,2607,2478,2080,2793,1630,522
36109,"Tompkins County, New York",29522,4254,2863,2833,5417,4136,3359,3623,2055,982
36111,"Ulster County, New York",55853,7287,5079,4930,9419,8055,6926,8246,4124,1787
36113,"Warren County, New York",19404,2633,1853,1823,3644,3148,2208,2498,1106,491
36115,"Washington County, New York",17984,2385,1681,1760,3303,3095,2422,2344,768,226
36117,"Wayne County, New York",28587,2963,2042,2214,4465,4476,4209,5143,2414,661
36119,"Westchester County, New York",307350,27430,17239,16677,35626,35553,34506,53790,43789,42740
36121,"Wyoming County, New York",12801,1507,997,1049,2369,2317,1766,1795,747,254
36123,"Yates County, New York",7819,1225,765,818,1498,1248,900,819,365,181
