census_id,geoid,name,hh,hh_lt_10K,hh_10K_to_14999,hh_15K_to_19999,hh_20K_to_24999,hh_25K_to_29999,hh_30K_to_34999,hh_35K_to_39999,hh_40K_to_44999,hh_45K_to_49999,hh_50K_to_59999,hh_60K_to_74999,hh_75K_to_99999,hh_100K_to_124999,hh_125K_to_149999,hh_150K_to_199999,hh_200K_or_more
0500000US36001,36001,"Albany County, New York",120645,11229,7641,7152,7480,7834,7798,7000,6371,5662,11013,13133,13105,6821,3233,2860,2313
0500000US36003,36003,"Allegany County, New York",18056,2190,1739,1527,1591,1372,1353,1332,1095,953,1605,1369,1177,394,135,79,145
0500000US36005,36005,"Bronx County, New York",463242,109177,40001,31884,31990,31254,29705,24852,22392,17784,32324,33587,30029,13356,6262,4351,4294
0500000US36007,36007,"Broome County, New York",80917,8935,6890,6556,6061,6091,5545,4928,4668,4098,7154,7145,6515,3013,1329,1071,918
0500000US36009,36009,"Cattaraugus County, New York",32055,3203,2936,2768,2832,2614,2391,2327,2007,1702,2861,2933,2022,802,265,203,189
0500000US36011,36011,"Cayuga County, New York",30589,2773,2366,2282,2245,2269,2093,2241,1994,1646,3062,3262,2492,989,400,273,202
0500000US36013,36013,"Chautauqua County, New York",54488,5882,5012,4594,4625,4347,3950,3706,3284,2870,4881,4858,3452,1553,598,386,490
0500000US36015,36015,"Chemung County, New York",35076,3789,2734,2510,2621,2621,2530,2461,2224,1810,3262,3359,2850,1079,499,363,364
0500000US36017,36017,"Chenango County, New York",19892,1995,1795,1610,1783,1650,1468,1428,1317,898,1776,1758,1390,537,207,188,92
0500000US36019,36019,"Clinton County, New York",29479,3533,2281,2165,1985,2034,1889,1965,1704,1613,3018,2804,2694,963,271,290,270
0500000US36021,36021,"Columbia County, New York",24852,1868,1553,1633,1688,1722,1781,1566,1494,1338,2547,2681,2365,1060,533,501,522
0500000US36023,36023,"Cortland County, New York",18249,2188,1593,1431,1365,1432,1249,1212,1163,967,1672,1620,1331,495,264,84,183
0500000US36025,36025,"Delaware County, New York",19245,2048,1833,1422,1672,1740,1600,1245,1205,948,1710,1566,1176,581,182,120,197
0500000US36027,36027,"Dutchess County, New York",99719,6397,4619,4765,4695,5448,5194,5110,5189,4646,9569,12236,14686,7589,4199,3249,2128
0500000US36029,36029,"Erie County, New York",380890,41325,29626,27430,26435,25907,23409,22023,20483,19254,33586,38262,37429,17081,7456,5900,5284
0500000US36031,36031,"Essex County, New York",15015,1545,1259,1182,1143,1217,1200,991,1077,866,1277,1316,1159,356,172,99,156
