census_id,geoid,name,hh,hh_moe,hh_lt_10K,hh_lt_10K_moe,hh_10K_to_14999,hh_10K_to_14999_moe,hh_15K_to_19999,hh_15K_to_19999_moe,hh_20K_to_24999,hh_20K_to_24999_moe,hh_25K_to_29999,hh_25K_to_29999_moe,hh_30K_to_34999,hh_30K_to_34999_moe,hh_35K_to_39999,hh_35K_to_39999_moe,hh_40K_to_44999,hh_40K_to_44999_moe,hh_45K_to_49999,hh_45K_to_49999_moe,hh_50K_to_59999,hh_50K_to_59999_moe,hh_60K_to_74999,hh_60K_to_74999_moe,hh_75K_to_99999,hh_75K_to_99999_moe,hh_100K_to_124999,hh_100K_to_124999_moe,hh_125K_to_149999,hh_125K_to_149999_moe,hh_150K_to_199999,hh_150K_to_199999_moe,hh_200K_or_more,hh_200K_or_more_moe
0500000US36001,36001,"Albany County, New York",122674,1088,8523,608,5858,481,5664,497,5350,538,5940,519,4789,484,5353,470,6043,510,4271,385,10117,558,12571,722,16141,839,11630,624,7269,534,8044,515,5111,402
0500000US36003,36003,"Allegany County, New York",18843,374,1387,158,1417,152,1349,180,1223,149,1317,171,1088,128,1126,123,1072,137,1098,147,1683,148,1929,152,2014,214,1118,160,458,68,358,71,206,46
0500000US36005,36005,"Bronx County, New York",473281,1378,76326,1829,42378,1532,36355,1297,31421,1226,27569,1117,25699,1162,23062,1083,22075,1051,19155,1007,34713,1271,37913,1255,42034,1376,23567,957,12681,851,11520,749,6813,476
0500000US36007,36007,"Broome County, New York",80223,717,6710,474,4889,453,5206,377,5429,418,4345,419,4661,465,4114,421,4111,441,3717,335,6756,440,8167,554,8903,490,5339,465,3164,287,2738,386,1974,250
0500000US36009,36009,"Cattaraugus County, New York",32419,432,2255,225,2287,166,2383,247,2371,223,1997,214,1835,215,1898,217,1800,209,1653,209,3156,296,3554,286,3816,284,1784,169,754,131,490,78,386,93
0500000US36011,36011,"Cayuga County, New York",31427,415,1878,250,1637,224,1830,231,2102,252,1748,263,1607,204,1519,210,1667,232,1350,211,3247,314,3431,307,4468,336,2355,272,1285,231,864,139,439,110
0500000US36013,36013,"Chautauqua County, New York",54950,617,4996,481,4173,357,4040,358,3610,364,3540,313,3217,286,2659,286,3115,312,2885,316,4798,403,5342,368,5963,402,3460,302,1298,217,1301,211,553,120
0500000US36015,36015,"Chemung County, New York",35452,614,2576,363,2303,358,2436,258,2289,304,2509,336,1754,273,1731,279,1329,191,1371,231,3446,337,3856,307,4041,360,2704,329,1365,230,976,189,766,196
0500000US36017,36017,"Chenango County, New York",19779,326,1429,204,1259,213,1284,192,1377,207,1305,219,1018,174,1071,161,1364,183,878,149,1831,246,2040,238,2496,242,1237,188,457,99,433,100,300,83
0500000US36019,36019,"Clinton County, New York",31820,463,2306,360,2014,324,1883,299,1757,231,1598,235,1874,311,1476,209,1660,250,1231,186,2614,302,3792,397,3982,351,2556,306,1407,212,1050,191,620,185
0500000US36021,36021,"Columbia County, New York",25476,486,1160,190,1166,202,1512,210,1217,184,1083,172,1543,264,1139,209,1332,215,1201,208,1956,262,2624,301,3326,312,2447,283,1548,217,1110,141,1112,202
0500000US36023,36023,"Cortland County, New York",17809,367,1480,247,1072,175,868,176,1046,160,889,163,998,191,1024,181,1115,188,854,157,1685,192,1804,219,2196,218,1147,173,637,118,741,186,253,84
0500000US36025,36025,"Delaware County, New York",19920,425,1448,215,1460,236,1256,213,1470,232,1280,214,1174,151,1216,198,1068,157,810,158,1880,214,2130,239,2422,238,1225,216,595,122,296,95,190,64
0500000US36027,36027,"Dutchess County, New York",107734,876,5180,477,4094,426,3840,442,4211,471,4245,458,4269,509,3697,385,4220,433,3676,442,7843,556,11135,675,15847,810,11702,726,8245,544,8501,523,7029,505
0500000US36029,36029,"Erie County, New York",379980,1527,32723,1290,21971,876,22579,1034,21824,904,20153,999,19963,969,17215,843,17853,870,15782,821,30982,949,38178,1135,47115,1211,31031,1032,16146,669,14690,732,11775,702
0500000US36031,36031,"Essex County, New York",16198,454,839,209,904,171,1051,219,917,171,1074,225,883,194,966,179,1105,258,787,182,1425,214,1982,255,1853,210,945,166,629,148,575,151,263,89
0500000US36033,36033,"Franklin County, New York",19170,353,1605,222,1324,208,1252,193,1258,193,1134,169,1147,185,883,142,863,132,952,183,1615,208,1946,201,2552,325,1288,181,744,156,303,79,304,94
0500000US36035,36035,"Fulton County, New York",22511,413,1862,295,1427,241,1163,179,1642,263,1333,204,1272,222,1307,238,1187,236,1059,195,2144,255,2391,278,2748,281,1462,202,827,158,372,108,315,105
0500000US36037,36037,"Genesee County, New York",23962,306,1485,213,1251,180,1357,233,1109,182,1439,195,1328,199,1219,215,1355,203,1001,187,1975,218,3108,269,3466,274,1831,216,897,159,813,167,328,92
0500000US36039,36039,"Greene County, New York",18411,540,1184,219,1061,223,1096,194,1359,248,1069,224,1152,216,764,140,1127,181,988,214,1558,279,1832,241,2300,277,1173,184,902,158,526,121,320,90
0500000US36041,36041,"Hamilton County, New York",2134,101,111,34,83,26,139,40,95,29,121,31,134,35,141,43,114,30,92,29,213,50,232,47,259,52,183,44,74,31,78,24,65,24
0500000US36043,36043,"Herkimer County, New York",26775,372,1965,230,2045,240,1706,204,1661,231,1761,249,1573,198,1525,192,1348,205,1225,186,2443,307,2849,317,3357,257,1651,213,627,115,636,125,403,115
0500000US36045,36045,"Jefferson County, New York",45162,583,3218,359,2684,317,2714,352,2553,301,2995,326,2455,310,2272,283,2903,311,2416,330,4170,375,5107,366,5492,418,2990,254,1387,189,1152,201,654,150
0500000US36047,36047,"Kings County, New York",911995,2146,108525,2135,63301,1678,54536,1539,50699,1449,47399,1549,46395,1465,40569,1301,43139,1338,34370,1225,66680,1850,82204,1821,92693,1846,63027,1483,39763,1208,41211,1145,37484,1187
0500000US36049,36049,"Lewis County, New York",10657,196,754,142,488,75,620,104,734,143,654,104,750,142,629,113,679,111,537,96,901,124,1328,132,1253,139,700,117,319,101,192,64,119,44
0500000US36051,36051,"Livingston County, New York",24127,373,1532,225,1219,178,1239,206,1179,178,1209,180,1204,214,1207,149,1216,203,917,183,2318,277,2836,290,3823,325,2154,213,1025,204,709,140,340,93
0500000US36053,36053,"Madison County, New York",26613,433,1652,217,1393,170,1405,234,1192,209,1245,219,1475,230,1332,188,1804,253,1206,188,2436,261,3108,324,3821,251,2067,248,908,139,897,164,672,106
0500000US36055,36055,"Monroe County, New York",294726,1553,24206,1051,14620,816,15227,765,15498,903,15347,790,15969,782,12897,699,14460,724,12579,783,24532,949,29043,1107,39274,1081,23236,792,14401,699,12533,634,10904,625
0500000US36057,36057,"Montgomery County, New York",19898,283,1710,248,1316,195,1262,164,1389,182,1351,175,1014,188,1120,167,1194,191,738,142,1874,238,1800,173,2384,211,1248,188,695,131,575,125,228,69
0500000US36059,36059,"Nassau County, New York",442869,1320,13651,772,10567,594,12616,712,12081,722,12501,699,12126,668,12129,684,12795,710,11726,710,25003,1034,35976,1169,56223,1720,51830,1459,41095,1349,54818,1485,67732,1396
0500000US36061,36061,"New York County, New York",738131,3598,72833,2119,39952,1280,32641,1413,29545,1473,26789,1313,26466,1150,22149,1229,23650,1410,18989,1011,42965,1717,56700,1985,71268,2137,57614,1950,38532,1594,52921,1864,125117,2254
0500000US36063,36063,"Niagara County, New York",88542,807,6447,506,5399,389,5837,411,5416,520,4910,478,5138,452,4786,457,4261,383,3680,321,7859,707,9271,594,10373,555,6798,475,3802,395,2990,369,1575,169
0500000US36065,36065,"Oneida County, New York",91500,893,7372,491,5376,463,5608,428,5535,414,5182,452,4586,388,4398,375,4630,424,3755,337,8170,520,9889,558,11022,616,6755,413,4073,382,3077,383,2072,270
0500000US36067,36067,"Onondaga County, New York",185036,913,14098,656,10361,684,9918,535,9549,665,9387,575,9190,526,8997,629,8140,493,7280,485,14823,639,19513,792,22372,736,16777,785,9960,467,8170,517,6501,449
0500000US36069,36069,"Ontario County, New York",43822,475,1695,251,2058,234,2284,318,2312,357,2611,323,1986,280,2111,280,2014,304,2196,266,3764,346,5265,441,5861,487,4224,431,2123,287,1821,294,1497,216
0500000US36071,36071,"Orange County, New York",125180,831,5595,499,5541,559,4808,498,4857,440,4930,414,4962,399,4523,465,4628,504,4232,486,9172,697,12344,762,17295,784,14010,722,10279,704,10442,643,7562,570
